HSCode,Commodity,value,country,year
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",3.32,AFGHANISTAN TIS,2013
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",51.14,AFGHANISTAN TIS,2013
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,,AFGHANISTAN TIS,2013
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,1.03,AFGHANISTAN TIS,2013
17,SUGARS AND SUGAR CONFECTIONERY.,0.05,AFGHANISTAN TIS,2013
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.56,AFGHANISTAN TIS,2013
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,,AFGHANISTAN TIS,2013
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.16,AFGHANISTAN TIS,2013
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",,AFGHANISTAN TIS,2013
30,PHARMACEUTICAL PRODUCTS,0,AFGHANISTAN TIS,2013
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",,AFGHANISTAN TIS,2013
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,,AFGHANISTAN TIS,2013
39,PLASTIC AND ARTICLES THEREOF.,0.02,AFGHANISTAN TIS,2013
40,RUBBER AND ARTICLES THEREOF.,0,AFGHANISTAN TIS,2013
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,0,AFGHANISTAN TIS,2013
