HSCode,Commodity,value,country,year
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,0.11,AFGHANISTAN TIS,2011
54,MAN-MADE FILAMENTS.,120.35,AFGHANISTAN TIS,2011
55,MAN-MADE STAPLE FIBRES.,12.58,AFGHANISTAN TIS,2011
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",0.01,AFGHANISTAN TIS,2011
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,0.16,AFGHANISTAN TIS,2011
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,2.4,AFGHANISTAN TIS,2011
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",0.11,AFGHANISTAN TIS,2011
60,KNITTED OR CROCHETED FABRICS.,0.65,AFGHANISTAN TIS,2011
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",28.22,AFGHANISTAN TIS,2011
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",44.82,AFGHANISTAN TIS,2011
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,3.75,AFGHANISTAN TIS,2011
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",1.01,AFGHANISTAN TIS,2011
65,HEADGEAR AND PARTS THEREOF.,0,AFGHANISTAN TIS,2011
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.02,AFGHANISTAN TIS,2011
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.03,AFGHANISTAN TIS,2011
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",0.29,AFGHANISTAN TIS,2011
69,CERAMIC PRODUCTS.,0.05,AFGHANISTAN TIS,2011
70,GLASS AND GLASSWARE.,0.85,AFGHANISTAN TIS,2011
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",64.57,AFGHANISTAN TIS,2011
72,IRON AND STEEL,0.54,AFGHANISTAN TIS,2011
73,ARTICLES OF IRON OR STEEL,4.83,AFGHANISTAN TIS,2011
74,COPPER AND ARTICLES THEREOF.,0.91,AFGHANISTAN TIS,2011
75,NICKEL AND ARTICLES THEREOF.,,AFGHANISTAN TIS,2011
76,ALUMINIUM AND ARTICLES THEREOF.,2.63,AFGHANISTAN TIS,2011
78,LEAD AND ARTICLES THEREOF.,,AFGHANISTAN TIS,2011
79,ZINC AND ARTICLES THEREOF.,0.01,AFGHANISTAN TIS,2011
80,TIN AND ARTICLES THEREOF.,0.01,AFGHANISTAN TIS,2011
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0,AFGHANISTAN TIS,2011
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",2.61,AFGHANISTAN TIS,2011
83,MISCELLANEOUS ARTICLES OF BASE METAL.,0.65,AFGHANISTAN TIS,2011
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",12.05,AFGHANISTAN TIS,2011
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",20.65,AFGHANISTAN TIS,2011
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",0,AFGHANISTAN TIS,2011
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",6.54,AFGHANISTAN TIS,2011
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",,AFGHANISTAN TIS,2011
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",2.24,AFGHANISTAN TIS,2011
91,CLOCKS AND WATCHES AND PARTS THEREOF.,0.01,AFGHANISTAN TIS,2011
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.05,AFGHANISTAN TIS,2011
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",0.35,AFGHANISTAN TIS,2011
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",0.02,AFGHANISTAN TIS,2011
96,MISCELLANEOUS MANUFACTURED ARTICLES.,1.42,AFGHANISTAN TIS,2011
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.07,AFGHANISTAN TIS,2011
98,PROJECT GOODS; SOME SPECIAL USES.,0,AFGHANISTAN TIS,2011
99,MISCELLANEOUS GOODS.,0.07,AFGHANISTAN TIS,2011
1,LIVE ANIMALS.,0,AFGHANISTAN TIS,2012
2,MEAT AND EDIBLE MEAT OFFAL.,3.11,AFGHANISTAN TIS,2012
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",0.3,AFGHANISTAN TIS,2012
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",16.39,AFGHANISTAN TIS,2012
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.01,AFGHANISTAN TIS,2012
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.02,AFGHANISTAN TIS,2012
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,0.28,AFGHANISTAN TIS,2012
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.37,AFGHANISTAN TIS,2012
9,"COFFEE, TEA, MATE AND SPICES.",1.88,AFGHANISTAN TIS,2012
10,CEREALS.,13.36,AFGHANISTAN TIS,2012
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.02,AFGHANISTAN TIS,2012
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",0.23,AFGHANISTAN TIS,2012
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",,AFGHANISTAN TIS,2012
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.01,AFGHANISTAN TIS,2012
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,,AFGHANISTAN TIS,2012
17,SUGARS AND SUGAR CONFECTIONERY.,0.03,AFGHANISTAN TIS,2012
18,COCOA AND COCOA PREPARATIONS.,,AFGHANISTAN TIS,2012
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.17,AFGHANISTAN TIS,2012
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.09,AFGHANISTAN TIS,2012
21,MISCELLANEOUS EDIBLE PREPARATIONS.,0.28,AFGHANISTAN TIS,2012
22,"BEVERAGES, SPIRITS AND VINEGAR.",0.03,AFGHANISTAN TIS,2012
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,0.02,AFGHANISTAN TIS,2012
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,22.82,AFGHANISTAN TIS,2012
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.11,AFGHANISTAN TIS,2012
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",0.55,AFGHANISTAN TIS,2012
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",0.34,AFGHANISTAN TIS,2012
29,ORGANIC CHEMICALS,1.59,AFGHANISTAN TIS,2012
30,PHARMACEUTICAL PRODUCTS,44.79,AFGHANISTAN TIS,2012
